車名,定価,販売価格,排気量,馬力,燃費,重量,全長,全幅
Hummer H2,49995,45815,6,316,11,6400,190,81
Mercedes-Benz G500,76870,71540,5,292,13.5,5423,186,71
Land Rover Discovery SE,39250,35777,4.6,217,14,4576,185,74
Land Rover Range Rover HSE,72250,65807,4.4,282,14,5379,195,76
Chevrolet Astro,26395,23954,4.3,190,15.5,4605,190,78
GMC Yukon XL 2500 SLT,46265,40534,6,325,15,6133,219,79
Lexus LX 470,64800,56455,4.7,235,15,5590,193,76
Mercedes-Benz ML500,46470,43268,5,288,15.5,4874,183,72
Toyota Land Cruiser,54765,47986,4.7,325,15,5390,193,76
Toyota Sequoia SR5,35695,31827,4.7,240,15.5,5270,204,78
Cadillac Escaladet,52795,48377,5.3,295,16,5367,199,79
Chevrolet Suburban 1500 LT,42735,37422,5.3,295,16,4947,219,79
Chevrolet Tahoe LT,41465,36287,5.3,295,16,5050,197,79
Lincoln Aviator Ultimate,42915,39443,4.6,302,15.5,4834,193,76
Lincoln Navigator Luxury,52775,46360,5.4,300,15.5,5969,206,80
